place_id,place_name,about,link
ChIJd7IRtAlnvzsRgMSy3Teqhrg,Sherkhan masjid,All,https://lh5.googleusercontent.com/p/AF1QipMCuvdQ9XHyURXUdjhNXmGaNDKV6VhnogYdXm3v=w224-h298-k-no
ChIJd7IRtAlnvzsRgMSy3Teqhrg,Sherkhan masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipMPFpJheffiVVvh3SzUPzED4zeEbuv3QLeERaMw=w529-h298-k-no
ChIJd7IRtAlnvzsRgMSy3Teqhrg,Sherkhan masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wByefODcTIdq13mfW5QE_w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=223.2814&pitch=0&thumbfov=100
ChIJYQ5PPrpmvzsReXttdoii_64,Jamiya Masjid (Darbar Road Belagavi),All,https://lh5.googleusercontent.com/p/AF1QipMwDHjGGh_lT5v_bDcJufZY2zQiU9Ln_F6YFlLi=w529-h298-k-no
ChIJYQ5PPrpmvzsReXttdoii_64,Jamiya Masjid (Darbar Road Belagavi),Latest,https://lh5.googleusercontent.com/p/AF1QipNfeI37y_JvtIFxPF-Q2oLCIUpGcy6QYe_R67NY=w529-h298-k-no
ChIJYQ5PPrpmvzsReXttdoii_64,Jamiya Masjid (Darbar Road Belagavi),Videos,https://lh5.googleusercontent.com/p/AF1QipNmtFG3Rt3VXp0czwITwhzDDJAI5U1YeKmp7CWW=w224-h398-k-no
ChIJYQ5PPrpmvzsReXttdoii_64,Jamiya Masjid (Darbar Road Belagavi),Dome,https://lh5.googleusercontent.com/p/AF1QipOsUf9B-niJl-VhUThIaA7sWm8Ai6dAIdouE40N=w224-h298-k-no
ChIJLeDfsstmvzsRZZM6dXjVMa0,Masjid-E-Khaif- Asad khan society,All,https://lh5.googleusercontent.com/p/AF1QipP_pvbseItK4FVLvh-DxhlN7Zc-YTK9QEPH__Uz=w323-h298-k-no
ChIJLeDfsstmvzsRZZM6dXjVMa0,Masjid-E-Khaif- Asad khan society,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EHqTFQvFkhXNV08tD2EBcw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=340.90414&pitch=0&thumbfov=100
ChIJuTqW2lphvzsRJmONXccdbEE,REHMANIYA MASJID - (Belagavi),All,https://lh5.googleusercontent.com/p/AF1QipNM46ve_w3xXM-Q91cluHfgZg1uaHhOXS8cak_t=w225-h298-k-no
ChIJQz0BuE9hvzsRjcEbSRlbeto,Zakariya Masjid- Azam nagar,All,https://lh5.googleusercontent.com/p/AF1QipOiwJ270iG0Q7l8y8M7JdeigAWZkcfHiBUOrJYi=w528-h298-k-no
ChIJQz0BuE9hvzsRjcEbSRlbeto,Zakariya Masjid- Azam nagar,Latest,https://lh5.googleusercontent.com/p/AF1QipN-hvCoBz_cbstOHjMais_UOGr0fNhu076t9fiL=w224-h397-k-no
ChIJQz0BuE9hvzsRjcEbSRlbeto,Zakariya Masjid- Azam nagar,Videos,https://lh5.googleusercontent.com/p/AF1QipNjoqBDo2upjEhKfPOU1w3G9gQfzALQ4z5sxgUg=w224-h398-k-no
ChIJQz0BuE9hvzsRjcEbSRlbeto,Zakariya Masjid- Azam nagar,Dome,https://lh5.googleusercontent.com/p/AF1QipPQU1OBJmtVbyUdBcENt-IBHsd3P-C0UyozdCOg=w397-h298-k-no
ChIJj7RloKxhvzsRdTJwA6qvQ30,Maktab-e-Nomaniya,All,https://lh5.googleusercontent.com/p/AF1QipNBtjiyhCde8v5XqdLm1Xyk1UdgiXUl3CZidpig=w529-h298-k-no
ChIJj7RloKxhvzsRdTJwA6qvQ30,Maktab-e-Nomaniya,Videos,https://lh5.googleusercontent.com/p/AF1QipPTWHaUSN_AHR5XM2EOcOeCMExucwdk2-BKepEw=w224-h398-k-no
ChIJgXAwCcpmvzsREQsaqtuquEg,Bilal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNc9PE9dRRKRpI6hkafS42JbJcad96xqgFzdkoQ=w225-h298-k-no
ChIJgXAwCcpmvzsREQsaqtuquEg,Bilal Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNHSApSxE9Af1CYObz2ozvV8L08qMdi723Z_hPA=w224-h298-k-no
ChIJgXAwCcpmvzsREQsaqtuquEg,Bilal Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipNc9PE9dRRKRpI6hkafS42JbJcad96xqgFzdkoQ=w225-h298-k-no
ChIJgXAwCcpmvzsREQsaqtuquEg,Bilal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-mBTn-BxxnvdeymXdS7tjA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=178.65833&pitch=0&thumbfov=100
ChIJU0NMjrBmvzsR95c-LdOzeec,Ek Kaman Masjid- Jalgar galli,All,https://lh5.googleusercontent.com/p/AF1QipMly8NOWiVjoYzWh6Qu00bcan72hYCYucviZpj2=w298-h298-k-no
ChIJU0NMjrBmvzsR95c-LdOzeec,Ek Kaman Masjid- Jalgar galli,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kwHVU5YSJTsKAbedpTcaRA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=353.18658&pitch=0&thumbfov=100
ChIJI8lHUXhmvzsRSlSUBy7e7aw,Jamia Masjid (Angol),All,https://lh5.googleusercontent.com/p/AF1QipM9uHzztHXrP5HGs3NHk45hEV48C8BYycyKUL0P=w224-h298-k-no
ChIJI8lHUXhmvzsRSlSUBy7e7aw,Jamia Masjid (Angol),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xddSUaJPDJAlUE7VZj_mzw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=158.21118&pitch=0&thumbfov=100
ChIJ2eWcTctmvzsR5NuSz5W-QeQ,Khusro Masjid - Mahantesh nagar (Belagavi),All,https://lh5.googleusercontent.com/p/AF1QipPXfqPgS_-d-mX05EULmLalb4w28gA-O5PzeZ4=w224-h398-k-no
ChIJ2eWcTctmvzsR5NuSz5W-QeQ,Khusro Masjid - Mahantesh nagar (Belagavi),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=23cbnK9N7aN-UnutEst5TQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=313.69666&pitch=0&thumbfov=100
ChIJ2eWcTctmvzsR5NuSz5W-QeQ,Khusro Masjid - Mahantesh nagar (Belagavi),Videos,https://lh5.googleusercontent.com/p/AF1QipMXr3Lv5eZHnXgKwRCPll_USSM9swXlGFhHmZvi=w224-h398-k-no
ChIJbdNRxVFhvzsRHXeJQ1JTA9A,msjid phaij (Masjid Faiz (Sadashiv nagar - Belagavi),All,https://lh5.googleusercontent.com/p/AF1QipPX4CQjTrVOpCkipot29xnLfzw40RYT_3AThzeg=w224-h485-k-no
ChIJbdNRxVFhvzsRHXeJQ1JTA9A,msjid phaij (Masjid Faiz (Sadashiv nagar - Belagavi),Dome,https://lh5.googleusercontent.com/p/AF1QipNWVhu_GtyD1Z4eFOYOWImdrY2Xw91wEhBdJ1ZX=w298-h298-k-no
ChIJEQs7G7pmvzsRdmVV14DkeZY,Belagavi District Markaz,All,https://lh5.googleusercontent.com/p/AF1QipPMPUXzn0qdfhtqdwC5PTGmsfj4wmHrGXuoZ8tc=w224-h298-k-no
ChIJEQs7G7pmvzsRdmVV14DkeZY,Belagavi District Markaz,Videos,https://lh5.googleusercontent.com/p/AF1QipPtkB-tTgEYMRL0BPIhN09zvJAkX1zrjctC9I_7=w529-h298-k-no
ChIJTyDlJdtmvzsRrHdG86Gbovw,Salmania Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOFWKnO94lLIYHIBedUV-VvQgNMyu43E7IG_jOw=w224-h298-k-no
ChIJTyDlJdtmvzsRrHdG86Gbovw,Salmania Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W64jJJKFSVAMoLz05ykwqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=208.38417&pitch=0&thumbfov=100
ChIJTyDlJdtmvzsRrHdG86Gbovw,Salmania Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPpsbxUA_kxqn_zde4ePOkoykmmLZ97sl40r41i=w224-h389-k-no
ChIJIxCRjbJmvzsRrDrTPVB32xc,Noorani Masjid (Qabaristan),All,https://lh5.googleusercontent.com/p/AF1QipMWUimNeWxlEa-9uT4Kwk6l-DYhxdgS0EUO6wy2=w529-h298-k-no
ChIJIxCRjbJmvzsRrDrTPVB32xc,Noorani Masjid (Qabaristan),Latest,https://lh5.googleusercontent.com/p/AF1QipP9B5GFGyxN6KYT32Ii8oKDoXqQHvi6tpGF4Ys3=w529-h298-k-no
ChIJIxCRjbJmvzsRrDrTPVB32xc,Noorani Masjid (Qabaristan),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IOww5dS3ft4meZ91NLtSMw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=93.99003&pitch=0&thumbfov=100
ChIJHb0kWrdmvzsRqkjr8n1J0Tc,Masjid-E-Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipOmnVtsBQaHBzY_s9nqSsCeNvO2X93g6RpkrxQh=w397-h298-k-no
ChIJHb0kWrdmvzsRqkjr8n1J0Tc,Masjid-E-Ahle Hadees,By owner,https://lh5.googleusercontent.com/p/AF1QipMQHl3i8DxxmfGJfvFu2fyVzJQmzVTyQmD2S5_Y=w447-h298-k-no
ChIJ6YQdt8BmvzsRjk7RaFyLcmU,Safa Masjid - sphaa msiidi,All,https://lh5.googleusercontent.com/p/AF1QipPQykvyfDnT5LwMJm3FOh9PZrT41VVXZDGmooi8=w397-h298-k-no
ChIJE7Nt0J1mvzsRNtzNhjs54DE,Fauzi Masjid - (phauji msiidi),All,https://lh5.googleusercontent.com/p/AF1QipPv3Ia0r1cPPHuzmsyMrfTISOwhRT1n2YzS05un=w678-h298-k-no
ChIJE7Nt0J1mvzsRNtzNhjs54DE,Fauzi Masjid - (phauji msiidi),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e6VWy7Htb8T68fcoSELTGw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=59.203426&pitch=0&thumbfov=100
ChIJ0y2s-TZhvzsRS3XuP4TSVY8,Amina Masjid - Shreenagar,All,https://lh5.googleusercontent.com/p/AF1QipOfdTonm57r7JRUMTCMKKFXkDmtzYH2YetWxcIE=w397-h298-k-no
ChIJ0y2s-TZhvzsRS3XuP4TSVY8,Amina Masjid - Shreenagar,Dome,https://lh5.googleusercontent.com/p/AF1QipNV5CbHkFJ3GNwhKAioDOORBZ0NmGfYoSrM9aDi=w395-h298-k-no
ChIJ0y2s-TZhvzsRS3XuP4TSVY8,Amina Masjid - Shreenagar,Videos,https://lh5.googleusercontent.com/p/AF1QipMlwuQIkKoVkmU3fejZRSscftIjVVIQayo8ET84=w224-h398-k-no
ChIJ0y2s-TZhvzsRS3XuP4TSVY8,Amina Masjid - Shreenagar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6hi8gHE7uMA1SJ7Si4_blA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=35.89023&pitch=0&thumbfov=100
ChIJ2ReLeqFmvzsRRKr2Kmdw6G0,Choti Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNlJNBNkr-GvmfHwOe7QpaQhdNGxPbsBtaXtHcI=w224-h298-k-no
ChIJ2ReLeqFmvzsRRKr2Kmdw6G0,Choti Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNoN7MYlygzm3ai2hwomjHFxXhOiGXzmU6GoRfx=w397-h298-k-no
ChIJ2ReLeqFmvzsRRKr2Kmdw6G0,Choti Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G5NuLlxZ_k7VPsnJQ3XgGg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=260.05408&pitch=0&thumbfov=100
ChIJi0Jvp75mvzsRzWOfhEOH1VA,Bara Imam Mali Mohalla Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOZjsUWBJynygLHsR3jGQ30HOOitMwyo3alfn2G=w224-h298-k-no
ChIJi0Jvp75mvzsRzWOfhEOH1VA,Bara Imam Mali Mohalla Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u5P6d2hkPfXKIhoGu7yQ1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=117.738144&pitch=0&thumbfov=100
ChIJ60adEaZmvzsRvg8_WnuNR8A,Madina Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6rp7xmgMoN3AMa5XbtQv0A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=358.27365&pitch=0&thumbfov=100
ChIJ60adEaZmvzsRvg8_WnuNR8A,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6rp7xmgMoN3AMa5XbtQv0A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=358.27365&pitch=0&thumbfov=100
ChIJeTuR6f1jvzsRhX98necB7rs,Masjid-E-Touheed,All,https://lh5.googleusercontent.com/p/AF1QipP8kSROtygcowbakbgDqHtPfpE81_4yVOQb-3NI=w224-h298-k-no
ChIJeTuR6f1jvzsRhX98necB7rs,Masjid-E-Touheed,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YZkCzie7YSwKNwkXWBfH3A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=42.28037&pitch=0&thumbfov=100
ChIJeTuR6f1jvzsRhX98necB7rs,Masjid-E-Touheed,Videos,https://lh5.googleusercontent.com/p/AF1QipNXiZmoTooEF-prsTTFxngq9lZjGj-zPxX9B01U=w224-h398-k-no
ChIJn-L28o1mvzsRwAA31vVlybs,jaamiyaa msiidi (Jamia Masjid Navi Galli Shahapura Belagavi,All,https://lh5.googleusercontent.com/p/AF1QipMOtjRP2JufIyiBozDbS1qDRj7NMA4y-ZeoJumt=w397-h298-k-no
ChIJn-L28o1mvzsRwAA31vVlybs,jaamiyaa msiidi (Jamia Masjid Navi Galli Shahapura Belagavi,Dome,https://lh5.googleusercontent.com/p/AF1QipMC4x9g4b8UO_P4HHILth3Cf_WAH01J4TJmkl7i=w224-h398-k-no
ChIJn-L28o1mvzsRwAA31vVlybs,jaamiyaa msiidi (Jamia Masjid Navi Galli Shahapura Belagavi,Videos,https://lh5.googleusercontent.com/p/AF1QipOkHC3JioNboRuv14AvpKAIq8kbT0VpTVCvmIyt=w224-h398-k-no
ChIJZf0pbVdhvzsRdf2LMrxMOFk,Raza e mustafa sunni masjid and madrasa,All,https://lh5.googleusercontent.com/p/AF1QipNSLzl_wIpZMsmxDRxn84DXgeD6V-z8-fWOI1g0=w645-h298-k-no
ChIJZf0pbVdhvzsRdf2LMrxMOFk,Raza e mustafa sunni masjid and madrasa,Videos,https://lh5.googleusercontent.com/p/AF1QipP37Eo1dq4i9TqtU2gSY2GpT856WoZiMqvr9Wq7=w529-h298-k-no
ChIJNeVKU8NlvzsRFdY2RUH30-Y,Masjid-E-HUDA,All,https://lh5.googleusercontent.com/p/AF1QipP9DVIcOFTZ8p0jrBRlpHWMbwQWFDmpbE6FZh5w=w224-h398-k-no
ChIJNeVKU8NlvzsRFdY2RUH30-Y,Masjid-E-HUDA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3kj8cwRRAY122FK-YzVMRQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=273.1416&pitch=0&thumbfov=100
ChIJ23vJ67pmvzsRyf_JiYqM1Nc,chonga masjid ( masjid -e- mustafa),All,https://lh5.googleusercontent.com/p/AF1QipOdJkJ3gvSdoW7XlJaTVtt6GC0NBSVZGo2Ds1V7=w529-h298-k-no
ChIJ23vJ67pmvzsRyf_JiYqM1Nc,chonga masjid ( masjid -e- mustafa),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B5A0YYGzqsGPRtB918geqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.71204&pitch=0&thumbfov=100
