place_id,place_name,about,link
ChIJP_OUy36LzTsRVhUYNMw_c6E,"Masjid-e-Taj, Gajulpet",All,https://lh5.googleusercontent.com/p/AF1QipPpY7LMCzMxf9PIF1m3Hk9rsu6Lp70_hRFqn_YQ=w397-h298-k-no
ChIJ-XD8_IeLzTsRJcIh1GtOCYk,Masjid E Shaikh Sahab Pet,All,https://lh5.googleusercontent.com/p/AF1QipOnRUq_QTrYrGiXCXu-7nxwroUBOIg-q39PrS8=w529-h298-k-no
ChIJ-XD8_IeLzTsRJcIh1GtOCYk,Masjid E Shaikh Sahab Pet,By owner,https://lh5.googleusercontent.com/p/AF1QipPcj2mqe5J5gaA5--2U_SP-5xXU-MGTdwR0XKk-=w224-h298-k-no
ChIJ-XD8_IeLzTsRJcIh1GtOCYk,Masjid E Shaikh Sahab Pet,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FIbzt9L5L2TauKSFyiIJXg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=148.31927&pitch=0&thumbfov=100
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNdTCCpjT4t2OBpBahpDVnWNKAVzB0u2qEZpKeP=w397-h298-k-no
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPo2PUhUk-_NBic66BHYz9HLRA1PuHJwnurxWHf=w224-h298-k-no-pi-20-ya349-ro-0-fo100
ChIJAYp--HVc0jsR0Der--FeqSU,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOuvlTWfYBRcdP6KLk4Jspx5n0H2HE1EEPHKZ33=w224-h398-k-no
ChIJNwPQd3Rc0jsRsWKfSOcfxj0,Gulzaar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPmV3_7b_4d4-yd3TDYdhSwh-dkAtQLbh-hwyA=w397-h298-k-no
ChIJNwPQd3Rc0jsRsWKfSOcfxj0,Gulzaar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hjurfo0YTHMAMkuvVanxqg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=359.00403&pitch=0&thumbfov=100
ChIJaS1_ZHiMzTsRIGusxZmmrCs,Gulzar Masjid Nirmal,All,https://lh5.googleusercontent.com/p/AF1QipPd7RTBUJk9Ydsng3aCKB_o4W9_1uBc0AkluplU=w224-h298-k-no
ChIJaS1_ZHiMzTsRIGusxZmmrCs,Gulzar Masjid Nirmal,Dome,https://lh5.googleusercontent.com/p/AF1QipPNT0AsBN7DWZpm7mP3V8277ZwAmFkq6pWiSdeJ=w224-h398-k-no
ChIJaS1_ZHiMzTsRIGusxZmmrCs,Gulzar Masjid Nirmal,Videos,https://lh5.googleusercontent.com/p/AF1QipMt6IUFqkyyEaJm7E8ZAjikCPyGGCKR18Z9c1E3=w224-h431-k-no
ChIJaS1_ZHiMzTsRIGusxZmmrCs,Gulzar Masjid Nirmal,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FuBsX-opXk14HEuPiumNXw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=252.0163&pitch=0&thumbfov=100
ChIJ64sxW3-MzTsRK-c9F3qGrrg,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPeDYHSVgPMbggtur9yMUfVz6YSQxVjamTIFnzJ=w397-h298-k-no
ChIJ64sxW3-MzTsRK-c9F3qGrrg,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7gG2ZiMx0qP_aL3K2xi-WA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=263.85535&pitch=0&thumbfov=100
ChIJ64sxW3-MzTsRK-c9F3qGrrg,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPnU0ZRH4xhRwlnkHpZaJSER-mOU8vIwl8EGMwD=w224-h398-k-no
ChIJrTIvx3yMzTsRXTqqBA8eesg,Masjid E Mahboobia,All,https://lh5.googleusercontent.com/p/AF1QipNE9nJW_EmRkCAHiwZbfWh0fPyznoUlOC6LiQaq=w397-h298-k-no
ChIJrTIvx3yMzTsRXTqqBA8eesg,Masjid E Mahboobia,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aVWrNl8hcEypuVuijU3Erg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=275.89703&pitch=0&thumbfov=100
