place_id,place_name,about,link
ChIJ0bnBkVovHjkRIhsPKLnoUw0,"rHmtl lyl l'myn {Jamia masjid , Palma}",All,https://lh5.googleusercontent.com/p/AF1QipNKEVscDFSaGeY4cA65cBLOC25CXtApO1ZxvNLQ=w230-h298-k-no
ChIJ0bnBkVovHjkRIhsPKLnoUw0,"rHmtl lyl l'myn {Jamia masjid , Palma}",Dome,https://lh5.googleusercontent.com/p/AF1QipOWxe8rZOMEYbCwUhgcrea88MN7HtMTP5nvPQ2E=w224-h398-k-no
ChIJ0bnBkVovHjkRIhsPKLnoUw0,"rHmtl lyl l'myn {Jamia masjid , Palma}",Videos,https://lh5.googleusercontent.com/p/AF1QipOWxe8rZOMEYbCwUhgcrea88MN7HtMTP5nvPQ2E=w224-h398-k-no
ChIJ0bnBkVovHjkRIhsPKLnoUw0,"rHmtl lyl l'myn {Jamia masjid , Palma}",By owner,https://lh5.googleusercontent.com/p/AF1QipMWZ050atNEW6CwUb9WJMrXrUMq7Ab1yplpsgi4=w224-h298-k-no
ChIJu8Jr4C8vHjkRZ7N_NIrVtqU,"Jamia masjid , farwala",All,https://lh5.googleusercontent.com/p/AF1QipOKz7zjzHNwpoQj6NJHxFZghjYlfIJZ1CfSqdoe=w529-h298-k-no
ChIJu8Jr4C8vHjkRZ7N_NIrVtqU,"Jamia masjid , farwala",Latest,https://lh5.googleusercontent.com/p/AF1QipOKz7zjzHNwpoQj6NJHxFZghjYlfIJZ1CfSqdoe=w529-h298-k-no
ChIJu8Jr4C8vHjkRZ7N_NIrVtqU,"Jamia masjid , farwala",Videos,https://lh5.googleusercontent.com/p/AF1QipOKz7zjzHNwpoQj6NJHxFZghjYlfIJZ1CfSqdoe=w529-h298-k-no
ChIJDezRLh79DDkR52U_yMXmQbM,Sunehri Masjid,All,https://lh5.googleusercontent.com/p/AF1QipONXInaBCh_ldFarKRSzo5nUw9hyz_Mm_hnKwf7=w397-h298-k-no
ChIJDezRLh79DDkR52U_yMXmQbM,Sunehri Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipON_wvHIBRdaoqYj5R-8N3MZ2eHFFGcP5h3SITT=w529-h298-k-no
ChIJDezRLh79DDkR52U_yMXmQbM,Sunehri Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPtqEfMukEG9apDk5IfRpo5b5TYXVfsaef3KJNp=w224-h398-k-no
ChIJDezRLh79DDkR52U_yMXmQbM,Sunehri Masjid,Red Fort Lahori Gate,https://lh5.googleusercontent.com/p/AF1QipPWBOMNO1wxF37c2iSnsmrRzyXi3hdOYeu91MuZ=w528-h298-k-no
ChIJDezRLh79DDkR52U_yMXmQbM,Sunehri Masjid,Chatta Chowk Bazar / Meena Bazaar,https://lh5.googleusercontent.com/p/AF1QipOFT64RgpeZmKIGEGZSm69wPsDusWRyl9_RVOAG=w224-h298-k-no
ChIJDezRLh79DDkR52U_yMXmQbM,Sunehri Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMNtYHMjLCrhrmXDkHIyDYEJyHVexsVnRpBfWIK=w224-h298-k-no
ChIJDezRLh79DDkR52U_yMXmQbM,Sunehri Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMA7S3E2GtJ_U-LpnD3Zeh4KHuQv9JgTEDsd9Kk=w224-h298-k-no-pi-12.154341-ya185.17683-ro-0-fo100
ChIJM9RLpoYEDTkR2nSAfqcVSR0,JAMA MASJID KHYALA msjd,All,https://lh5.googleusercontent.com/p/AF1QipNPa6QG7I-OLWYKo0CmXvnAxbseqJBRV8ARxN0W=w224-h377-k-no
ChIJM9RLpoYEDTkR2nSAfqcVSR0,JAMA MASJID KHYALA msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-m5DJUbVoqeQ7qP4GCt67w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=176.55322&pitch=0&thumbfov=100
ChIJM9RLpoYEDTkR2nSAfqcVSR0,JAMA MASJID KHYALA msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipPCuAVftYrLFv2owB3rlJ-3cvRjLfSHFeBTuULK=w224-h398-k-no
ChIJycglSUUDDTkRNlRVzxypM-U,Hari Nagar Masjid (Masjid Faiz E Aam),All,https://lh5.googleusercontent.com/p/AF1QipM6P6uSOoYwmaUOl5LnQLxFDydEuYNQ-o36psfL=w224-h448-k-no
ChIJycglSUUDDTkRNlRVzxypM-U,Hari Nagar Masjid (Masjid Faiz E Aam),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0twppTIyg2ZWgT1llTb9hA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=77.09689&pitch=0&thumbfov=100
ChIJycglSUUDDTkRNlRVzxypM-U,Hari Nagar Masjid (Masjid Faiz E Aam),Videos,https://lh5.googleusercontent.com/p/AF1QipM2Kpp8ynjGmYgVFPmR7QkfrShNb3uz8pJgBKFq=w224-h401-k-no
ChIJx47aF3wDDTkRiEn6AK3ZPyk,ehle islam masjid,All,https://lh5.googleusercontent.com/p/AF1QipN9-0DP8Wsx5EOEflmDhrQvVaA7VzjZtmTUx9eF=w224-h298-k-no
