name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid e Noor Khursheed Nagar,Mosque,"Masjid e Noor Khursheed Nagar, khursheed Nagar, Adilabad, Telangana 504001",khursheed Nagar,,Adilabad,,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Noor+Khursheed+Nagar/data=!4m7!3m6!1s0x3bd25b7f77891187:0xd64d9d2522c68201!8m2!3d19.6780656!4d78.5199255!16s%2Fg%2F1pp2x6dd1!19sChIJhxGJd39b0jsRAYLGIiWdTdY?authuser=0&hl=en&rclk=1,"19.6780656,78.5199255"
Jama Masjid,Mosque,"9WF4+RQQ Jama Masjid, Jainoor, Telangana 504313",,9WF4+RQQ,Jainoor,504313,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd29a35900ac135:0x7391ef599ce08a2c!8m2!3d19.3745916!4d78.9069837!16s%2Fg%2F11f34m3m7b!19sChIJNcEKkDWa0jsRLIrgnFnvkXM?authuser=0&hl=en&rclk=1,"19.3745916,78.9069837"
JAMA MASJID SULTANGUDA,Mosque,"C2RR+XGF JAMA MASJID SULTANGUDA, Sultanguda, Kerimeri, Adilabad, Telangana 504313",Sultanguda,C2RR+XGF,"Kerimeri, Adilabad",,Telangana,IN,https://www.google.com/maps/place/JAMA+MASJID+SULTANGUDA/data=!4m7!3m6!1s0x3bd2bd475cdd2b39:0x2b52fccf2d27bcc0!8m2!3d19.4424339!4d79.0413029!16s%2Fg%2F11d_5drtt9!19sChIJOSvdXEe90jsRwLwnLc_8Uis?authuser=0&hl=en&rclk=1,"19.442433899999997,79.04130289999999"
Masjid e Bilala,Mosque,"Masjid e Bilala, Adilabad-Asifabad Rd, Jainoor, Telangana 504313",,Adilabad-Asifabad Rd,Jainoor,504313,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Bilala/data=!4m7!3m6!1s0x3bd29bb7204a9e0f:0x706dab2553f72b79!8m2!3d19.3750134!4d78.9120455!16s%2Fg%2F11f6qq3rwz!19sChIJD55KILeb0jsReSv3UyWrbXA?authuser=0&hl=en&rclk=1,"19.3750134,78.91204549999999"
Jama Masjid,Mosque,"Jama Masjid, Bus Station, Old, Utnur, Telangana 504311",Sevadas Nagar,"Bus Station, Old",Utnur,504311,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd285b42543f7db:0xfbc9083caa3eda41!8m2!3d19.3679744!4d78.7738921!16s%2Fg%2F11c2p12cr7!19sChIJ2_dDJbSF0jsRQdo-qjwIyfs?authuser=0&hl=en&rclk=1,"19.367974399999998,78.7738921"
Masjid-E-Mohammadiya,Mosque,"Masjid-E-Mohammadiya, 1, Nirmal - Mancherial Rd, Jannaram, Telangana 504205",,"1, Nirmal - Mancherial Rd",Jannaram,504205,Telangana,IN,https://www.google.com/maps/place/Masjid-E-Mohammadiya/data=!4m7!3m6!1s0x3bcd673fccaa4f81:0xf85ddfa7fa77cdbb!8m2!3d19.1192404!4d78.9938765!16s%2Fg%2F11byvwzk4r!19sChIJgU-qzD9nzTsRu813-qffXfg?authuser=0&hl=en&rclk=1,"19.1192404,78.9938765"
Masjid-E-Noor,Mosque,"9Q8G+JJX Masjid-E-Noor, Mominpura, Sevadas Nagar, Utnur, Telangana 504311","Mominpura, Sevadas Nagar",9Q8G+JJX,Utnur,,Telangana,IN,https://www.google.com/maps/place/Masjid-E-Noor/data=!4m7!3m6!1s0x3bd285b3f2afb185:0x2ec78038b9f918ae!8m2!3d19.3675545!4d78.7769558!16s%2Fg%2F1pp2tk8bd!19sChIJhbGv8rOF0jsRrhj5uTiAxy4?authuser=0&hl=en&rclk=1,"19.3675545,78.7769558"
NOORANI JAMA MASJID,Mosque,"NOORANI JAMA MASJID, Narnoor, Telangana 504311",,,Narnoor,504311,Telangana,IN,https://www.google.com/maps/place/NOORANI+JAMA+MASJID/data=!4m7!3m6!1s0x3bd291faf32c3cc1:0x9b5e439f89b47085!8m2!3d19.4987577!4d78.8481544!16s%2Fg%2F11g9mh63k9!19sChIJwTws8_qR0jsRhXC0iZ9DXps?authuser=0&hl=en&rclk=1,"19.4987577,78.8481544"
MASJID - E - WASIL,Mosque,"9Q7C+W9C MASJID - E - WASIL, Utnur, Telangana 504311",,9Q7C+W9C,Utnur,504311,Telangana,IN,https://www.google.com/maps/place/MASJID+-+E+-+WASIL/data=!4m7!3m6!1s0x3bd285b568212b3b:0xd48a9da29da1160e!8m2!3d19.3648093!4d78.7708923!16s%2Fg%2F11g6q_z_ty!19sChIJOyshaLWF0jsRDhahnaKditQ?authuser=0&hl=en&rclk=1,"19.364809299999997,78.7708923"
Masjid Mohammadia,Mosque,"9QCG+VR7 Masjid Mohammadia, Utnoor Rd, Utnur, Telangana 504311",,"9QCG+VR7, Utnoor Rd",Utnur,504311,Telangana,IN,https://www.google.com/maps/place/Masjid+Mohammadia/data=!4m7!3m6!1s0x3bd285b0dc0d26a7:0xf6fa3333ae2948b7!8m2!3d19.3721507!4d78.7770528!16s%2Fg%2F11c2p105cs!19sChIJpyYN3LCF0jsRt0gprjMz-vY?authuser=0&hl=en&rclk=1,"19.3721507,78.77705279999999"
