name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Kali Masjid,Jalna",Mosque,"RVQG+VJC Kali Masjid,Jalna, opposite Urdu high school court road, Guru Ganesh Nagar, Sanjay Nagar, Old Jalna, Jalna, Maharashtra 431213","Guru Ganesh Nagar, Sanjay Nagar, Old Jalna","RVQG+VJC, opposite Urdu high school court road",Jalna,431213,Maharashtra,IN,"https://www.google.com/maps/place/Kali+Masjid,Jalna/data=!4m7!3m6!1s0x3bda573f562ea949:0x257e8b7fd8c2eed6!8m2!3d19.83968!4d75.8765237!16s%2Fg%2F1tvq2l3y!19sChIJSakuVj9X2jsR1u7C2H-LfiU?authuser=0&hl=en&rclk=1","19.839679999999998,75.87652369999999"
Moti Masjid,Mosque,"RWX2+595 Moti Masjid, Jalna, Maharashtra 431203",,RWX2+595,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Moti+Masjid/data=!4m7!3m6!1s0x3bda59e2b49c8777:0xcc21ccb3045ac614!8m2!3d19.8478925!4d75.900977!16s%2Fg%2F1hm4qy4xt!19sChIJd4ectOJZ2jsRFMZaBLPMIcw?authuser=0&hl=en&rclk=1,"19.8478925,75.900977"
Bilal Masjid,Mosque,"RVXW+4XQ Bilal Masjid, Sangram nagar, Rahman Ganj, Jalna, Maharashtra 431203","Sangram nagar, Rahman Ganj",RVXW+4XQ,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Bilal+Masjid/data=!4m7!3m6!1s0x3bda57582a1ef3b1:0x35e82c6e497602c8!8m2!3d19.8478326!4d75.8974709!16s%2Fg%2F1pyqm4k17!19sChIJsfMeKlhX2jsRyAJ2SW4s6DU?authuser=0&hl=en&rclk=1,"19.8478326,75.8974709"
Baagwaan Masjid,Mosque,"Baagwaan Masjid, Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Millat Nagar, Bhawani Nagar",,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Baagwaan+Masjid/data=!4m7!3m6!1s0x3bda5744304b35f9:0x57d035dfb7789e87!8m2!3d19.8431399!4d75.883276!16s%2Fg%2F1pyqmcqw5!19sChIJ-TVLMERX2jsRh554t9810Fc?authuser=0&hl=en&rclk=1,"19.8431399,75.883276"
Gol Masjid,Mosque,"RWR2+RMX Gol Masjid, Ram Nagar, Rahman Ganj, Jalna, Maharashtra 431203","Ram Nagar, Rahman Ganj",RWR2+RMX,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Gol+Masjid/data=!4m7!3m6!1s0x3bda59e220d460e9:0x1b77077aa55a1302!8m2!3d19.8424318!4d75.9016793!16s%2Fg%2F1pyqr1k06!19sChIJ6WDUIOJZ2jsRAhNapXoHdxs?authuser=0&hl=en&rclk=1,"19.8424318,75.9016793"
Chowk Masjid,Mosque,"RWV2+HQP Chowk Masjid, NEAR KADRABAD POLICE STATION SARAFA CORNER SHIVAJI STATUE, ROAD, Jalna, Maharashtra",Gawali Pura,"RWV2+HQP, NEAR KADRABAD POLICE STATION SARAFA CORNER SHIVAJI STATUE, ROAD",Jalna,,Maharashtra,IN,https://www.google.com/maps/place/Chowk+Masjid/data=!4m7!3m6!1s0x3bda59e24647ef97:0xf1ca309026bc52aa!8m2!3d19.8439609!4d75.9019513!16s%2Fg%2F11b6gdkk5t!19sChIJl-9HRuJZ2jsRqlK8JpAwyvE?authuser=0&hl=en&rclk=1,"19.8439609,75.9019513"
Aqsa Masjid,Mosque,"RVMR+8Q9 Aqsa Masjid, Railway Station Rd, Jalna, Maharashtra 431213",Jalna,"RVMR+8Q9, Railway Station Rd",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Aqsa+Masjid/data=!4m7!3m6!1s0x3bda57670535d011:0xd7d9eefecb742915!8m2!3d19.8332983!4d75.8919847!16s%2Fg%2F1pyqv1nmy!19sChIJEdA1BWdX2jsRFSl0y_7u2dc?authuser=0&hl=en&rclk=1,"19.8332983,75.8919847"
Markaz Masjid,Mosque,"RVVP+F46 Markaz Masjid, Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Millat Nagar, Bhawani Nagar",RVVP+F46,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Markaz+Masjid/data=!4m7!3m6!1s0x3bda574455a1ce0b:0xed20df152e7aeed3!8m2!3d19.8436625!4d75.8852656!16s%2Fg%2F11b6y_j0_v!19sChIJC86hVURX2jsR0-56LhXfIO0?authuser=0&hl=en&rclk=1,"19.8436625,75.8852656"
Akeli Masjid,Mosque,"VW22+22H Akeli Masjid, Dhangarpura, Jalna, Maharashtra 431203",Dhangarpura,VW22+22H,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Akeli+Masjid/data=!4m7!3m6!1s0x3bda59fd63eec30d:0x915c9ed4a74994da!8m2!3d19.8500708!4d75.9000993!16s%2Fg%2F1pyqjpkwk!19sChIJDcPuY_1Z2jsR2pRJp9SeXJE?authuser=0&hl=en&rclk=1,"19.850070799999997,75.9000993"
Aqsa Masjid,Mosque,"RVWH+H8J Aqsa Masjid, Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Millat Nagar, Bhawani Nagar",RVWH+H8J,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Aqsa+Masjid/data=!4m7!3m6!1s0x3bda5748748aa141:0x126d624892d0b29b!8m2!3d19.846472!4d75.878266!16s%2Fg%2F1pyqhp_sk!19sChIJQaGKdEhX2jsRm7LQkkhibRI?authuser=0&hl=en&rclk=1,"19.846472,75.878266"
Yousuf Masjid,Mosque,"RVWH+9WQ Yousuf Masjid, Yousuf calony, Yusuf St, Dukhi Nagar, Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Dukhi Nagar, Millat Nagar, Bhawani Nagar","RVWH+9WQ, Yousuf calony, Yusuf St",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Yousuf+Masjid/data=!4m7!3m6!1s0x3bda57462bf86e27:0xb1df301b6fefd89c!8m2!3d19.845962!4d75.879863!16s%2Fg%2F1pyqnk21k!19sChIJJ274K0ZX2jsRnNjvbxsw37E?authuser=0&hl=en&rclk=1,"19.845962,75.879863"
Chamda Bazar Masjid,Mosque,"RWR3+3Q3 Chamda Bazar Masjid, Gandhinagar, Vyankatesh Nagar, Jalna, Maharashtra 431203","Gandhinagar, Vyankatesh Nagar",RWR3+3Q3,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Chamda+Bazar+Masjid/data=!4m7!3m6!1s0x3bda59e12301768d:0xb844193e00c5380d!8m2!3d19.840127!4d75.904417!16s%2Fg%2F1pyqpt2t1!19sChIJjXYBI-FZ2jsRDTjFAD4ZRLg?authuser=0&hl=en&rclk=1,"19.840127,75.904417"
Abbasiya Masjid (Ahle Sunnat),Mosque,"RWX2+2PM Abbasiya Masjid (Ahle Sunnat), Dana Bazaar Rd, Gawali Pura, Jalna, Maharashtra 431203",Gawali Pura,"RWX2+2PM, Dana Bazaar Rd",Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Abbasiya+Masjid+%28Ahle+Sunnat%29/data=!4m7!3m6!1s0x3bda59e2ceee68cf:0x6ab4d7eb372063c2!8m2!3d19.8475835!4d75.9018119!16s%2Fg%2F11cn950xwm!19sChIJz2juzuJZ2jsRwmMgN-vXtGo?authuser=0&hl=en&rclk=1,"19.8475835,75.9018119"
Jama Masjid,Mosque,"RVVP+CQ7 Jama Masjid, Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Millat Nagar, Bhawani Nagar",RVVP+CQ7,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bda5744ddedfa35:0xf037b7a6145055fd!8m2!3d19.8435355!4d75.8869296!16s%2Fg%2F11b6ggcs4p!19sChIJNfrt3URX2jsR_VVQFKa3N_A?authuser=0&hl=en&rclk=1,"19.843535499999998,75.8869296"
Madina Masjid (Ahle Sunnat),Mosque,"RVVM+4J9 Madina Masjid (Ahle Sunnat), Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Millat Nagar, Bhawani Nagar",RVVM+4J9,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Madina+Masjid+%28Ahle+Sunnat%29/data=!4m7!3m6!1s0x3bda574446e469ed:0x5b7501606b464e49!8m2!3d19.8427868!4d75.8841043!16s%2Fg%2F1pyqvl449!19sChIJ7WnkRkRX2jsRSU5Ga2ABdVs?authuser=0&hl=en&rclk=1,"19.8427868,75.88410429999999"
Umar Farooq Masjid,Mosque,"RVWM+32V Umar Farooq Masjid, Dukhi Nagar, Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Dukhi Nagar, Millat Nagar, Bhawani Nagar",RVWM+32V,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Umar+Farooq+Masjid/data=!4m7!3m6!1s0x3bda5745e04c049d:0x56f48b33e5fe02f7!8m2!3d19.8452449!4d75.882558!16s%2Fg%2F1pyql7ddz!19sChIJnQRM4EVX2jsR9wL-5TOL9FY?authuser=0&hl=en&rclk=1,"19.8452449,75.882558"
Bibi Noor Masjid,Mosque,"VV29+3WP Bibi Noor Masjid, Maheshwari Twp, Jalna, Maharashtra 431213",Maheshwari Township,VV29+3WP,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Bibi+Noor+Masjid/data=!4m7!3m6!1s0x3bda573146a22f43:0x799d39ee9aaa65b6!8m2!3d19.85022!4d75.869817!16s%2Fg%2F1pyqt04h4!19sChIJQy-iRjFX2jsRtmWqmu45nXk?authuser=0&hl=en&rclk=1,"19.85022,75.869817"
Maniyar Masjid (Ahle Sunnat),Mosque,"RVVJ+4XG Maniyar Masjid (Ahle Sunnat), Millat Nagar, Shashtri Mohalla, Jalna, Maharashtra 431213","Millat Nagar, Shashtri Mohalla",RVVJ+4XG,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Maniyar+Masjid+%28Ahle+Sunnat%29/data=!4m7!3m6!1s0x3bda5744217f2465:0x48a91003745cf6b!8m2!3d19.842818!4d75.8824463!16s%2Fg%2F1pyqvmjgl!19sChIJZSR_IURX2jsRa89FNwCRigQ?authuser=0&hl=en&rclk=1,"19.842817999999998,75.8824463"
Quba Masjid,Mosque,"VV29+C5Q Quba Masjid, Maheshwari Twp, Jalna, Maharashtra 431213",Maheshwari Township,VV29+C5Q,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Quba+Masjid/data=!4m7!3m6!1s0x3bda57317f934643:0x87372bd7fe47299c!8m2!3d19.851094!4d75.867983!16s%2Fg%2F1pyqd_9d6!19sChIJQ0aTfzFX2jsRnClH_tcrN4c?authuser=0&hl=en&rclk=1,"19.851094,75.867983"
Makkah Masjid (Ahle Sunnat),Mosque,"Makkah Masjid (Ahle Sunnat), Ambad Road, Near, Visava School, Kharat Nagar, Jalna, Maharashtra 431203",Kharat Nagar,"Ambad Road, Near, Visava School",Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Makkah+Masjid+%28Ahle+Sunnat%29/data=!4m7!3m6!1s0x3bda576bde85d54d:0xca371ddb0db0cf6a!8m2!3d19.8307073!4d75.8821532!16s%2Fg%2F11dx9gv54j!19sChIJTdWF3mtX2jsRas-wDdsdN8o?authuser=0&hl=en&rclk=1,"19.8307073,75.88215319999999"
Elyas Masjid,Mosque,"RWM5+6QX Elyas Masjid, Gandhinagar, Vyankatesh Nagar, Jalna, Maharashtra 431203","Gandhinagar, Vyankatesh Nagar",RWM5+6QX,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Elyas+Masjid/data=!4m7!3m6!1s0x3bda59dcee622e8b:0x57d597a6590b6e79!8m2!3d19.833122!4d75.909477!16s%2Fg%2F1pyqdztn4!19sChIJiy5i7txZ2jsReW4LWaaX1Vc?authuser=0&hl=en&rclk=1,"19.833122,75.909477"
Kgn Masjid (Ahle Sunnat),Mosque,"VV2P+54P Kgn Masjid (Ahle Sunnat), Saklecha Nagar, Jalna, Maharashtra 431203",Saklecha Nagar,VV2P+54P,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Kgn+Masjid+%28Ahle+Sunnat%29/data=!4m7!3m6!1s0x3bda574ef7e68521:0x7d8e40c15ca0158c!8m2!3d19.850469!4d75.885315!16s%2Fg%2F1pyqqg09c!19sChIJIYXm905X2jsRjBWgXMFAjn0?authuser=0&hl=en&rclk=1,"19.850469,75.88531499999999"
Head Quarters Masjid,Mosque,"VW35+7GM Head Quarters Masjid, Old MIDC, Jalna, Maharashtra 431203",Old MIDC,VW35+7GM,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Head+Quarters+Masjid/data=!4m7!3m6!1s0x3bda59fbb58d9a45:0xd1571765303dcebc!8m2!3d19.8532023!4d75.9087814!16s%2Fg%2F11g8cz1nx7!19sChIJRZqNtftZ2jsRvM49MGUXV9E?authuser=0&hl=en&rclk=1,"19.8532023,75.9087814"
Al Furkan Masjid,Mosque,"RVHR+2G5 Al Furkan Masjid, Masjid Rd, Anand Nagar, Kharat Nagar, Jalna, Maharashtra 431213","Anand Nagar, Kharat Nagar","RVHR+2G5, Masjid Rd",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Al+Furkan+Masjid/data=!4m7!3m6!1s0x3bda574f5dfc1c65:0xabc629328ef8c94e!8m2!3d19.8275125!4d75.8913594!16s%2Fg%2F11hzmqlhwv!19sChIJZRz8XU9X2jsRTsn4jjIpxqs?authuser=0&hl=en&rclk=1,"19.827512499999997,75.8913594"
Umar Masjid,Mosque,"VV2F+W5W Umar Masjid, National Nagar, Maheshwari Twp, Jalna, Maharashtra 431213","National Nagar, Maheshwari Township",VV2F+W5W,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Umar+Masjid/data=!4m7!3m6!1s0x3bda57343aafbc65:0x31cbf0e1ef9f9c67!8m2!3d19.852355!4d75.8729649!16s%2Fg%2F1pyqp3lq4!19sChIJZbyvOjRX2jsRZ5yf7-HwyzE?authuser=0&hl=en&rclk=1,"19.852355,75.8729649"
Rabiya masjid sunder nagar,Mosque,"VV45+VX4 Rabiya masjid sunder nagar, Jalna Rd, Chandanzira, Jalna, Maharashtra 431213",Chandanzira,"VV45+VX4, Jalna Rd",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Rabiya+masjid+sunder+nagar/data=!4m7!3m6!1s0x3bda571fb2b86c6d:0x99bc5595fbfd2202!8m2!3d19.8571273!4d75.8599533!16s%2Fg%2F11hz0th22p!19sChIJbWy4sh9X2jsRAiL9-5VVvJk?authuser=0&hl=en&rclk=1,"19.8571273,75.8599533"
Huda Masjid,Mosque,"RVHM+PFG Huda Masjid, Visava School, Kharat Nagar, Jalna, Maharashtra 431213",Kharat Nagar,"RVHM+PFG, Visava School",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Huda+Masjid/data=!4m7!3m6!1s0x3bda5769563f5bbb:0xc6088049fc22fdd7!8m2!3d19.8293198!4d75.8837057!16s%2Fg%2F1pyqpfcj1!19sChIJu1s_VmlX2jsR1_0i_EmACMY?authuser=0&hl=en&rclk=1,"19.8293198,75.8837057"
Nurani Masjid,Mosque,"VW82+GMG Nurani Masjid, kanhaiya nagar, Jalna, Maharashtra 431203",kanhaiya nagar,VW82+GMG,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Nurani+Masjid/data=!4m7!3m6!1s0x3bda5a073a00dea5:0x3535346f775f74da!8m2!3d19.8663162!4d75.9017121!16s%2Fg%2F11b6mphyv1!19sChIJpd4AOgda2jsR2nRfd280NTU?authuser=0&hl=en&rclk=1,"19.8663162,75.9017121"
Ali Masjid,Mosque,"VV55+43H Ali Masjid, Chandanzira, Jalna, Maharashtra 431213",Chandanzira,VV55+43H,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Ali+Masjid/data=!4m7!3m6!1s0x3bda50d4952c253d:0xb7e129ad105525b!8m2!3d19.8578113!4d75.8577265!16s%2Fg%2F1pyqpcw1p!19sChIJPSUsldRQ2jsRW1IF0ZoSfgs?authuser=0&hl=en&rclk=1,"19.857811299999998,75.8577265"
Gulshan Masjid,Mosque,"Gulshan Masjid, Manth Bypass Road Jalna, Jalna, Maharashtra 431203",Vyankatesh Nagar,Manth Bypass Road Jalna,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Gulshan+Masjid/data=!4m7!3m6!1s0x3bda59eb8cba01f1:0x565d344d130f5289!8m2!3d19.8431472!4d75.9187031!16s%2Fg%2F1232kfkg5!19sChIJ8QG6jOtZ2jsRiVIPE000XVY?authuser=0&hl=en&rclk=1,"19.8431472,75.9187031"
Hamza Masjid & Madarsa,Mosque,"RVJV+VF9 Hamza Masjid & Madarsa, Nariman Nagar, Jalna, Maharashtra 431213",Nariman Nagar,RVJV+VF9,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Hamza+Masjid+%26+Madarsa/data=!4m7!3m6!1s0x3bda57d9482c6a63:0x63bc16d5151cb8a!8m2!3d19.8321651!4d75.8937404!16s%2Fg%2F11j3xctlct!19sChIJY2osSNlX2jsRistRUW3BOwY?authuser=0&hl=en&rclk=1,"19.832165099999997,75.8937404"
Sher Sawar Masjid Sunni,Mosque,"RVXM+8MR Sher Sawar Masjid Sunni, Sayyed Ahmed Sher Sawar Dargah Old, Jalna, Maharashtra 431213","Millat Nagar, Bhawani Nagar","RVXM+8MR, Sayyed Ahmed Sher Sawar Dargah Old",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Sher+Sawar+Masjid+Sunni/data=!4m7!3m6!1s0x3bda572bee19d187:0x9c0d640dc80873e3!8m2!3d19.8483698!4d75.8841536!16s%2Fg%2F11hdnfkv8f!19sChIJh9EZ7itX2jsR43MIyA1kDZw?authuser=0&hl=en&rclk=1,"19.8483698,75.88415359999999"
Abu Bakar Masjid,Mosque,"Abu Bakar Masjid, Off, Sarvadi Road, Gandhinagar, Arjun Nagar, Jalna, Maharashtra 431213","Gandhinagar, Arjun Nagar","Off, Sarvadi Road",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Abu+Bakar+Masjid/data=!4m7!3m6!1s0x3bda59dcf82846bf:0x9a6aa47c07a35e8a!8m2!3d19.833378!4d75.9088362!16s%2Fg%2F11b8v9hp6w!19sChIJv0Yo-NxZ2jsRil6jB3ykapo?authuser=0&hl=en&rclk=1,"19.833378,75.9088362"
TAUHEED MASJID (ahle hadees) jalna,Mosque,"RVXH+527 TAUHEED MASJID (ahle hadees) jalna, Millat Nagar, Bhawani Nagar, Jalna, Maharashtra 431213","Millat Nagar, Bhawani Nagar",RVXH+527,Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/TAUHEED+MASJID+%28ahle+hadees%29+jalna/data=!4m7!3m6!1s0x3bda57f00359b933:0x96066a2935186c48!8m2!3d19.847908!4d75.8775396!16s%2Fg%2F11sx04z273!19sChIJM7lZA_BX2jsRSGwYNSlqBpY?authuser=0&hl=en&rclk=1,"19.847908,75.87753959999999"
Shahmanik Masjid (Ahle Sunnat),Mosque,"RVVJ+4WF Shahmanik Masjid (Ahle Sunnat), Maniyar Mohalla, Old Jalna, Jalna, Maharashtra 431213","Millat Nagar, Old Jalna","RVVJ+4WF, Maniyar Mohalla",Jalna,431213,Maharashtra,IN,https://www.google.com/maps/place/Shahmanik+Masjid+%28Ahle+Sunnat%29/data=!4m7!3m6!1s0x3bda574432fffff7:0xeeffb2ab5cebfbf8!8m2!3d19.8428025!4d75.8822954!16s%2Fg%2F11gfgx_l2v!19sChIJ9___MkRX2jsR-PvrXKuy_-4?authuser=0&hl=en&rclk=1,"19.842802499999998,75.88229539999999"
Raheman Ganj masjid,Mosque,"Raheman Ganj masjid, Sangram nagar, Rahman Ganj, Jalna, Maharashtra 431203","Sangram nagar, Rahman Ganj",,Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Raheman+Ganj+masjid/data=!4m7!3m6!1s0x3bda575f2a4bcaaf:0xd5d7b384c928d433!8m2!3d19.8526342!4d75.8994016!16s%2Fg%2F11h2vxmn00!19sChIJr8pLKl9X2jsRM9QoyYSz19U?authuser=0&hl=en&rclk=1,"19.8526342,75.89940159999999"
Malik E Ambar Masjid Shish Tekdi,Mosque,"RVVQ+JMF Malik E Ambar Masjid Shish Tekdi, Shish Tekdi, Sayyed Nagar, Old Jalna, Jalna, Maharashtra 431203","Mali Pura, Millat Nagar, Old Jalna","RVVQ+JMF, Shish Tekdi, Sayyed Nagar",Jalna,431203,Maharashtra,IN,https://www.google.com/maps/place/Malik+E+Ambar+Masjid+Shish+Tekdi/data=!4m7!3m6!1s0x3bda575b27a754a1:0x2cfce774dcd2bf0e!8m2!3d19.8440579!4d75.8891578!16s%2Fg%2F1pyqjm72p!19sChIJoVSnJ1tX2jsRDr_S3HTn_Cw?authuser=0&hl=en&rclk=1,"19.8440579,75.88915779999999"
