name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Masjid-e-Taj, Gajulpet",Mosque,"484M+GW7 Masjid-e-Taj, Gajulpet, Gajulpet, Telangana 504106",,484M+GW7,Gajulpet,504106,Telangana,IN,"https://www.google.com/maps/place/Masjid-e-Taj,+Gajulpet/data=!4m7!3m6!1s0x3bcd8b7ecb94f33f:0xa1733fcc34181556!8m2!3d19.1062844!4d78.3347824!16s%2Fg%2F1yg4v7gr2!19sChIJP_OUy36LzTsRVhUYNMw_c6E?authuser=0&hl=en&rclk=1","19.1062844,78.3347824"
Masjid E Shaikh Sahab Pet,Mosque,"Masjid E Shaikh Sahab Pet, Shaikh Sahab Pet, Teachers Colony, Besthawar Pet, Brahmapuri, Nirmal, Telangana 504106","Teachers Colony, Besthawar Pet, Brahmapuri",Shaikh Sahab Pet,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Shaikh+Sahab+Pet/data=!4m7!3m6!1s0x3bcd8b87fcfc70f9:0x89094e6bd421c225!8m2!3d19.1025254!4d78.3497556!16s%2Fg%2F1vc6bvmr!19sChIJ-XD8_IeLzTsRJcIh1GtOCYk?authuser=0&hl=en&rclk=1,"19.102525399999998,78.3497556"
Jama Masjid,Mosque,"MGGQ+F5Q Jama Masjid, Jama Masjid Rd, Mahalaxmiwada, Adilabad, Telangana 504001",Mahalaxmiwada,"MGGQ+F5Q, Jama Masjid Rd",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bd25c75f87e8a01:0x25a95ee1fbab37d0!8m2!3d19.6762137!4d78.5379985!16s%2Fg%2F1tlqnfwv!19sChIJAYp--HVc0jsR0Der--FeqSU?authuser=0&hl=en&rclk=1,"19.676213699999998,78.5379985"
Gulzaar Masjid,Mosque,"MGCR+66Q Gulzaar Masjid, Bokkalguda St, Brahmanwadi, Adilabad, Telangana 504001",Brahmanwadi,"MGCR+66Q, Bokkalguda St",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Gulzaar+Masjid/data=!4m7!3m6!1s0x3bd25c7477d00337:0x3dc61fe7489f62b1!8m2!3d19.6704596!4d78.5395986!16s%2Fg%2F1tcz6sjz!19sChIJNwPQd3Rc0jsRsWKfSOcfxj0?authuser=0&hl=en&rclk=1,"19.670459599999997,78.53959859999999"
Masjid-e-Rahmania,Mosque,"MG5H+P96 Masjid-e-Rahmania, Dasnapur, Sapthagiri Colony, chaitanyapuri, Adilabad, Telangana 504001","Dasnapur, Sapthagiri Colony, chaitanyapuri",MG5H+P96,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Rahmania/data=!4m7!3m6!1s0x3bd25c643f4fdb2f:0xa503fe99bb42906e!8m2!3d19.6592958!4d78.5283772!16s%2Fg%2F1w2ysb6c!19sChIJL9tPP2Rc0jsRbpBCu5n-A6U?authuser=0&hl=en&rclk=1,"19.6592958,78.5283772"
Masjid-e-Firdous,Mosque,"MG6G+978 Masjid-e-Firdous, Rickshaw Colony, Adilabad, Telangana 504001",Rickshaw Colony,MG6G+978,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Firdous/data=!4m7!3m6!1s0x3bd25c6379b59d8d:0x6f222369871ef4cd!8m2!3d19.6609205!4d78.525713!16s%2Fg%2F11b6tqg984!19sChIJjZ21eWNc0jsRzfQeh2kjIm8?authuser=0&hl=en&rclk=1,"19.6609205,78.525713"
Masjid-E-Taneem,Mosque,"MG8P+GJ2 Masjid-E-Taneem, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,MG8P+GJ2,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid-E-Taneem/data=!4m7!3m6!1s0x3bd25c7196951817:0xe1695f659d337d7!8m2!3d19.6662707!4d78.5365283!16s%2Fg%2F11c52zx1f3!19sChIJFxiVlnFc0jsR1zfTWfaVFg4?authuser=0&hl=en&rclk=1,"19.6662707,78.5365283"
Masjid E Chand Sultana,Mosque,"Masjid E Chand Sultana, 504106, Vidyanagar, Adharsha Nagar, Nirmal, Telangana 504106","Vidyanagar, Adharsha Nagar",504106,Nirmal,504106,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Chand+Sultana/data=!4m7!3m6!1s0x3bcd8c644575ee19:0x37cd15e32a13fd32!8m2!3d19.0859119!4d78.3464606!16s%2Fg%2F11fzb16hxz!19sChIJGe51RWSMzTsRMv0TKuMVzTc?authuser=0&hl=en&rclk=1,"19.0859119,78.3464606"
Masjid e Noor Khursheed Nagar,Mosque,"Masjid e Noor Khursheed Nagar, khursheed Nagar, Adilabad, Telangana 504001",khursheed Nagar,,Adilabad,,Telangana,IN,https://www.google.com/maps/place/Masjid+e+Noor+Khursheed+Nagar/data=!4m7!3m6!1s0x3bd25b7f77891187:0xd64d9d2522c68201!8m2!3d19.6780656!4d78.5199255!16s%2Fg%2F1pp2x6dd1!19sChIJhxGJd39b0jsRAYLGIiWdTdY?authuser=0&hl=en&rclk=1,"19.6780656,78.5199255"
Mohammadia Masjid,Mosque,"MGFH+M8P Mohammadia Masjid, NH 44, Vidya Nagar, Adilabad, Telangana 504001",Vidya Nagar,"MGFH+M8P, NH 44",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Mohammadia+Masjid/data=!4m7!3m6!1s0x3bd25c7892a2eb3b:0x89c3b0daf8ff360!8m2!3d19.6742243!4d78.5283275!16s%2Fg%2F1tjz1t_5!19sChIJO-uiknhc0jsRYPOPrw07nAg?authuser=0&hl=en&rclk=1,"19.6742243,78.5283275"
Masjid_E_Quba,Mosque,"Masjid_E_Quba, 2-5-216, beside Masjid E Quba Khila, Mohalla Badh, Adilabad, Telangana 504001",Mohalla Badh,"2-5-216, beside Masjid E Quba Khila",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid_E_Quba/data=!4m7!3m6!1s0x3bd25bedeaaaaaab:0xe29f9a411d92289b!8m2!3d19.6793188!4d78.5406475!16s%2Fg%2F11bwkvtnj8!19sChIJq6qq6u1b0jsRmyiSHUGan-I?authuser=0&hl=en&rclk=1,"19.6793188,78.54064749999999"
Masjid-e-Meraj,Mosque,"Masjid-e-Meraj, Police lane, Sanjay Nagar, Adilabad, Bhattisavargaon, Telangana 504001",Sanjay Nagar,Police lane,"Adilabad, Bhattisavargaon",504001,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Meraj/data=!4m7!3m6!1s0x3bd25c80a40634d7:0x99b706696d47a613!8m2!3d19.6674917!4d78.5163997!16s%2Fg%2F1tr7b846!19sChIJ1zQGpIBc0jsRE6ZHbWkGt5k?authuser=0&hl=en&rclk=1,"19.6674917,78.5163997"
Masjid-e-Huda,Mosque,"Masjid-e-Huda, opp. Bus Stand, Asifabad, Telangana 504293",,opp. Bus Stand,Asifabad,,Telangana,IN,https://www.google.com/maps/place/Masjid-e-Huda/data=!4m7!3m6!1s0x3bd2ac1c5f823685:0x442868b52a3ced5e!8m2!3d19.3620003!4d79.2942735!16s%2Fg%2F11bw7cz2mz!19sChIJhTaCXxys0jsRXu08KrVoKEQ?authuser=0&hl=en&rclk=1,"19.3620003,79.2942735"
Masjid E Abubaker,Mosque,"MG8V+54F Masjid E Abubaker, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,MG8V+54F,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Abubaker/data=!4m7!3m6!1s0x3bd25c72afd994d1:0x55e84f035f33b282!8m2!3d19.6654385!4d78.542794!16s%2Fg%2F11c1wsmygw!19sChIJ0ZTZr3Jc0jsRgrIzXwNP6FU?authuser=0&hl=en&rclk=1,"19.6654385,78.542794"
Madina Masjid mdynh msjd,Mosque,"MGCJ+GX8 Madina Masjid mdynh msjd, Netaji Chowk Rd, Ponnar, Bhuktapur, Telangana 504001",Ponnar,"MGCJ+GX8, Netaji Chowk Rd",Bhuktapur,504001,Telangana,IN,https://www.google.com/maps/place/Madina+Masjid+%D9%85%D8%AF%DB%8C%D9%86%DB%81+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3bd25c7742dd0b05:0xf2fb259a889bfa78!8m2!3d19.6712846!4d78.5324561!16s%2Fg%2F11fzzxxq7l!19sChIJBQvdQndc0jsRePqbiJol-_I?authuser=0&hl=en&rclk=1,"19.6712846,78.53245609999999"
Masjid E Tawheed Ahle Hadees,Mosque,"MG9R+3FF Masjid E Tawheed Ahle Hadees, Bokkalguda St, Opp. Sanober Urdu School, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,"MG9R+3FF, Bokkalguda St, Opp. Sanober Urdu School",Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Tawheed+Ahle+Hadees/data=!4m7!3m6!1s0x3bd25c72fd255f2d:0x9b9a25549484aac6!8m2!3d19.6676945!4d78.5411635!16s%2Fg%2F11b6wlm0t4!19sChIJLV8l_XJc0jsRxqqElFQlmps?authuser=0&hl=en&rclk=1,"19.6676945,78.5411635"
Muhammadiya Masjid,Mosque,"MG29+X76 Muhammadiya Masjid, Ramnagar Colony, Adilabad, Telangana 504001",Ramnagar Colony,MG29+X76,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Muhammadiya+Masjid/data=!4m7!3m6!1s0x3bd25c8ad95e1f51:0xc9001b8ca6d7fd64!8m2!3d19.6524043!4d78.5181462!16s%2Fg%2F11cn7qqr7d!19sChIJUR9e2Ypc0jsRZP3XpowbAMk?authuser=0&hl=en&rclk=1,"19.6524043,78.51814619999999"
Abubakr masjid,Mosque,"MG8R+J7F Abubakr masjid, Shanti Nagar, Adilabad, Telangana 504001",Shanti Nagar,MG8R+J7F,Adilabad,504001,Telangana,IN,https://www.google.com/maps/place/Abubakr+masjid/data=!4m7!3m6!1s0x3bd25c72f6f46bc9:0xcd16458f413f5d2e!8m2!3d19.6665675!4d78.5406681!16s%2Fg%2F11c607nzf4!19sChIJyWv09nJc0jsRLl0_QY9FFs0?authuser=0&hl=en&rclk=1,"19.6665675,78.54066809999999"
